Woman ID,Residence,Region,Religion,Ethnicity,Age group,Marital state,Current marital state,Highest education qualification,Frequency of reading newspapper,Frequency of watching televisio,Frequency of listening to radio,Frequency of all media combined,Have you ever given birth,Current pregnancy status,Working status,Welth index,Y1
86,1,1,4,2,6,1,1,3,1,1,2,1,1,2,2,5,2
87,1,1,3,4,7,1,2,1,3,3,3,3,1,2,2,3,2
88,1,1,2,3,4,1,1,3,1,1,1,1,1,2,2,5,2
89,1,1,1,1,6,1,2,3,3,1,1,1,1,2,2,4,8
90,1,1,3,4,3,1,1,5,1,1,2,1,1,2,2,4,2
91,1,1,3,4,7,1,1,2,1,1,3,1,1,2,2,5,2
92,1,1,3,4,2,1,1,4,1,3,3,1,1,2,2,5,2
93,1,1,1,1,7,1,1,4,1,1,1,1,1,2,2,4,1
94,1,1,3,3,2,1,1,2,3,3,2,2,1,2,2,2,
95,1,1,3,4,7,1,1,3,3,1,3,1,1,2,2,4,8
96,1,1,1,1,2,1,1,3,3,1,1,1,1,2,2,4,1
97,1,1,2,2,5,1,1,3,3,1,3,1,1,2,2,3,2
98,1,1,1,1,6,2,3,1,3,2,2,2,1,2,1,4,8
99,1,1,3,4,2,1,1,3,3,1,3,1,1,2,2,3,
100,1,1,2,2,3,1,1,4,1,1,1,1,1,2,2,4,2
101,1,1,2,2,3,1,1,3,1,1,1,1,2,1,1,4,8
102,1,1,1,1,7,1,1,2,3,1,3,1,1,2,2,4,8
103,1,1,1,1,3,1,1,2,1,1,3,1,1,2,2,3,1
104,1,1,4,1,4,1,1,4,3,1,3,1,1,8,1,5,2
105,1,1,1,1,4,1,1,6,1,1,3,1,2,1,1,5,1
106,1,1,3,4,6,1,1,4,1,1,1,1,1,2,2,5,8
107,1,1,3,4,2,1,1,4,3,1,1,1,1,2,2,4,1
108,1,1,5,2,4,2,3,4,1,3,3,1,1,2,2,3,2
109,1,1,3,4,6,1,1,5,3,1,1,1,1,2,2,5,8
110,1,1,2,2,6,3,3,3,1,1,3,1,1,2,2,5,2
111,1,1,1,1,5,1,1,3,1,1,2,1,1,2,2,5,2
112,1,1,1,1,5,1,1,4,2,1,1,1,2,2,1,4,2
113,1,1,3,4,4,1,1,3,1,1,1,1,1,2,2,4,2
114,1,1,1,2,7,1,1,1,3,1,1,1,1,2,1,4,8
115,1,1,4,1,5,1,1,4,3,1,1,1,1,2,2,3,8
116,1,1,3,4,3,1,1,3,1,1,1,1,1,2,2,5,2
117,1,1,3,4,2,1,1,4,3,1,1,1,2,2,1,4,2
118,1,1,3,4,5,1,1,3,1,1,1,1,1,2,2,3,2
119,1,1,3,4,5,1,1,3,1,3,1,1,1,2,2,3,2
120,1,1,3,4,4,1,1,3,3,3,1,1,1,2,2,3,1
121,1,1,3,4,3,1,1,3,3,1,1,1,1,1,2,5,8
122,1,1,3,4,5,1,1,4,1,1,1,1,1,2,2,5,2
123,1,1,3,4,6,1,1,3,3,1,2,1,1,2,2,5,8
124,1,1,3,4,4,1,1,4,3,2,3,2,1,2,2,4,2
125,1,1,3,4,4,1,1,4,3,1,2,1,1,2,2,3,2
126,1,1,3,4,2,1,1,4,1,1,1,1,1,2,2,5,
127,1,1,3,4,3,1,1,6,2,2,2,2,1,2,1,4,2
128,1,1,3,4,2,1,1,3,2,2,2,2,1,2,2,4,2
129,1,1,3,4,3,1,1,3,2,2,1,1,2,1,2,4,2
130,1,1,3,4,2,1,1,3,1,2,2,1,1,2,2,4,2
131,1,1,3,4,4,1,1,4,1,2,2,1,1,2,2,5,2
132,1,1,3,4,2,1,1,4,2,1,1,1,1,1,2,5,8
133,1,1,1,1,4,1,1,5,3,1,1,1,1,2,1,5,2
134,1,1,1,1,6,1,1,6,1,1,1,1,1,2,1,5,2
135,1,1,1,1,3,1,1,4,1,1,3,1,1,2,1,4,2
136,1,1,3,4,5,1,1,4,1,1,2,1,1,2,2,5,2
137,1,1,1,1,5,1,1,5,1,3,1,1,1,2,1,5,2
138,1,1,1,1,7,1,1,5,1,1,1,1,1,2,1,5,2
139,1,1,1,1,5,1,1,3,3,1,3,1,1,2,2,4,2
140,1,1,3,4,7,3,3,2,3,3,3,3,1,2,1,4,
141,1,1,3,4,6,1,1,2,3,3,3,3,1,2,1,4,
142,1,1,3,4,7,1,1,2,1,1,3,1,1,2,2,5,1
143,1,1,3,4,6,1,1,2,3,1,3,1,1,2,2,4,8
