Woman ID,Residence,Region,Religion,Ethnicity,Age group,Marital state,Current marital state,Highest education qualification,Frequency of reading newspapper,Frequency of watching televisio,Frequency of listening to radio,Frequency of all media combined,Have you ever given birth,Current pregnancy status,Working status,Welth index,Y1
2942,2,1,1,1,4,1,1,4,1,1,1,1,1,2,1,4,2
2943,2,1,1,1,4,1,1,5,1,1,1,1,1,2,1,5,2
2944,2,1,1,1,4,1,1,5,1,1,1,1,2,2,1,5,2
2945,2,1,1,1,3,1,1,6,1,1,1,1,1,2,1,5,1
2946,2,1,1,1,4,1,1,6,1,1,1,1,1,2,1,5,2
2947,2,1,1,1,6,1,1,5,1,1,1,1,1,2,2,5,2
2948,2,1,1,1,5,1,1,5,1,1,1,1,1,2,1,5,2
2949,2,1,1,1,7,1,1,2,3,1,1,1,1,2,2,4,2
2950,2,1,1,1,6,1,1,5,1,1,1,1,1,2,1,5,2
2951,2,1,1,1,6,1,1,4,2,2,3,2,1,2,2,4,2
2952,2,1,1,1,4,1,1,3,1,1,1,1,1,2,2,2,1
2953,2,1,1,1,6,1,1,5,1,1,1,1,1,2,1,5,2
2954,2,1,5,1,5,1,1,4,1,1,1,1,1,2,2,2,2
2955,2,1,1,1,6,1,1,5,2,1,1,1,1,2,2,4,1
2956,2,1,1,1,7,1,1,5,2,2,2,2,1,2,2,5,2
2957,2,1,1,1,5,1,1,5,1,1,1,1,1,2,2,5,2
2958,2,1,1,1,3,1,1,3,3,1,3,1,1,2,2,1,2
2959,2,1,1,1,4,1,1,6,1,1,1,1,1,2,1,5,2
2960,2,1,1,1,7,1,1,6,1,1,1,1,1,2,1,5,2
2961,2,1,1,1,3,1,1,4,2,1,1,1,1,2,1,4,2
2962,2,1,1,1,6,1,1,5,1,1,1,1,1,2,2,5,2
2963,2,1,1,1,3,1,1,5,2,1,2,1,1,2,2,5,2
2964,2,1,1,1,7,1,1,4,2,1,1,1,1,2,1,4,2
2965,2,1,1,1,5,1,1,4,3,1,1,1,1,2,2,4,1
2966,2,1,1,1,5,1,1,3,2,1,1,1,1,2,2,2,2
2967,2,1,1,1,6,1,1,5,3,1,3,1,1,2,1,5,2
2968,2,1,1,1,3,1,1,4,1,1,1,1,2,2,1,4,2
2969,2,1,1,1,7,1,1,5,1,1,1,1,1,2,2,5,2
2970,2,1,1,1,6,1,1,2,1,1,1,1,1,2,2,4,1
2971,2,1,1,1,5,1,1,5,1,1,1,1,1,2,2,4,2
2972,2,1,1,1,5,1,1,3,1,1,1,1,1,2,2,5,2
2973,2,1,1,1,6,1,1,3,1,1,3,1,1,2,2,4,2
2974,2,1,1,1,5,1,1,3,1,1,1,1,1,2,1,3,2
2975,2,1,3,4,4,1,1,3,2,3,2,2,1,2,2,5,
2976,2,1,3,4,6,1,1,3,3,1,1,1,2,2,2,5,2
2977,2,1,3,4,4,1,1,6,1,2,3,1,1,2,1,5,8
2978,2,1,3,4,3,1,1,3,3,1,3,1,1,2,2,4,2
2979,2,1,3,4,3,1,1,3,2,1,1,1,1,2,2,5,
2980,2,1,3,4,6,1,1,3,3,2,1,1,1,2,2,3,8
2981,2,1,1,1,5,1,1,3,3,2,1,1,1,2,2,5,1
2982,2,1,1,1,5,1,1,5,1,1,1,1,1,2,1,4,2
2983,2,1,1,1,6,1,1,6,1,1,1,1,1,2,1,5,2
2984,2,1,1,1,4,1,1,4,1,1,1,1,1,2,2,5,1
2985,2,1,1,1,5,1,1,5,1,2,1,1,1,2,1,4,2
2986,2,1,1,1,6,1,1,4,1,1,1,1,2,2,1,5,8
2987,2,1,1,1,7,1,1,4,2,2,3,2,2,2,1,3,2
2988,2,1,1,1,4,2,3,3,1,2,2,1,1,2,2,2,1
2989,2,1,1,1,7,3,3,3,3,2,2,2,1,2,1,2,8
2990,2,1,1,1,2,1,1,4,3,1,3,1,2,2,2,2,2
2991,2,1,1,1,2,1,1,3,2,1,3,1,1,2,2,2,8
2992,2,1,1,1,3,1,1,4,1,1,3,1,1,1,2,2,2
2993,2,1,1,1,5,1,1,3,1,1,1,1,1,1,2,4,2
2994,2,1,1,1,7,1,1,3,1,1,1,1,2,2,1,4,2
2995,2,1,1,1,6,1,1,6,1,1,1,1,1,2,1,4,1
2996,2,1,1,1,6,1,2,5,2,1,1,1,1,2,1,4,2
2997,2,1,1,3,2,1,2,2,3,3,1,1,2,2,1,3,
2998,2,1,1,1,2,1,1,3,1,1,1,1,1,2,1,4,1
2999,2,1,1,1,3,1,1,3,3,1,2,1,2,2,2,4,8
3000,2,1,1,1,3,1,1,4,3,1,3,1,1,2,2,4,2
3001,2,1,1,1,5,1,1,3,3,1,3,1,1,2,2,3,
3002,2,1,1,3,7,1,1,3,3,1,3,1,1,2,1,2,8
3003,2,1,1,1,4,1,1,5,2,1,1,1,1,2,2,3,1
3004,2,1,1,1,3,1,1,5,1,1,1,1,1,2,2,5,2
3005,2,1,1,1,5,1,1,3,3,1,1,1,1,2,2,4,2
3006,2,1,1,1,3,1,1,3,3,1,3,1,1,2,2,3,
3007,2,1,1,1,5,1,1,3,3,1,3,1,1,2,2,3,8
3008,2,1,1,1,5,1,1,3,3,1,1,1,1,2,2,2,2
3009,2,1,1,1,6,1,1,5,1,1,1,1,1,2,2,5,1
3010,2,1,1,1,5,1,1,3,1,1,2,1,1,2,1,5,2
3011,2,1,1,1,5,1,1,4,1,1,1,1,1,2,2,4,2
3012,2,1,1,1,4,1,1,3,2,1,1,1,1,2,1,4,8
3013,2,1,1,1,5,1,1,3,2,1,2,1,2,2,2,2,2
3014,2,1,1,1,6,1,1,5,1,1,2,1,1,2,1,3,2
3015,2,1,1,1,7,1,1,3,1,1,1,1,1,2,2,4,2
3016,2,1,1,1,6,1,1,4,3,1,1,1,1,2,2,5,2
3017,2,1,1,1,4,1,1,3,2,1,2,1,1,1,2,3,1
3018,2,1,1,1,3,1,1,5,1,1,3,1,1,2,2,4,2
3019,2,1,1,1,5,1,1,4,1,1,1,1,1,2,1,4,2
3020,2,1,1,1,7,1,1,3,3,1,2,1,1,2,2,4,2
3021,2,1,1,1,6,1,1,5,2,1,1,1,1,2,1,3,2
3022,2,1,1,1,6,3,3,6,1,1,2,1,1,2,1,5,2
3023,2,1,1,1,5,1,1,6,1,1,1,1,1,2,1,5,1
3024,2,1,1,1,4,1,1,4,2,1,2,1,1,2,2,4,2
3025,2,1,1,1,2,1,1,3,1,1,1,1,1,2,2,4,8
3026,2,1,1,1,3,1,1,3,1,1,2,1,1,2,1,2,1
3027,2,1,1,1,5,1,1,4,3,1,3,1,1,2,1,5,2
3028,2,1,1,1,5,3,3,3,3,1,3,1,1,2,2,4,2
3029,2,1,1,1,7,1,1,4,1,1,3,1,1,2,2,4,2
3030,2,1,1,1,3,1,1,5,2,1,1,1,2,1,1,4,2
3031,2,1,1,1,4,1,1,3,1,1,1,1,1,2,2,4,8
3032,2,1,1,1,5,1,1,4,3,1,1,1,1,2,2,4,1
3033,2,1,1,1,4,1,1,3,1,1,2,1,1,2,2,5,2
3034,2,1,1,1,5,1,1,3,3,2,2,2,1,2,2,4,8
3035,2,1,1,1,3,1,1,5,1,1,2,1,1,2,2,5,1
3036,2,1,1,1,5,1,1,4,2,1,3,1,1,2,2,3,2
3037,2,1,1,1,4,1,1,3,3,1,1,1,1,2,2,4,2
3038,2,1,1,1,5,1,1,3,1,1,1,1,1,2,2,5,1
3039,2,1,1,1,7,1,1,4,2,1,1,1,1,2,2,4,2
3040,2,1,1,1,4,1,1,5,1,1,1,1,1,2,1,5,1
3041,2,1,1,1,4,1,1,5,1,1,3,1,1,2,2,5,2
3042,2,1,1,1,4,1,1,5,2,1,1,1,1,2,2,4,2
3043,2,1,1,1,2,1,1,4,2,1,1,1,1,2,2,4,2
3044,2,1,1,1,6,1,1,3,1,1,1,1,1,2,2,5,2
3045,2,1,1,1,6,1,1,5,1,2,2,1,1,2,2,5,2
3046,2,1,1,1,6,1,1,5,1,1,3,1,1,2,2,4,1
3047,2,1,1,1,4,1,1,5,1,1,1,1,1,1,1,5,2
3048,2,1,1,1,3,1,1,3,2,1,3,1,1,2,1,4,2
3049,2,1,1,1,5,1,1,5,1,1,2,1,1,2,2,5,2
3050,3,1,5,2,6,1,1,4,2,2,2,2,1,2,1,3,2
3051,3,1,2,3,3,1,1,4,2,1,2,1,1,2,2,4,8
3052,3,1,2,2,5,1,1,3,1,1,2,1,1,2,2,2,1
3053,3,1,2,3,5,1,1,1,3,2,1,1,1,2,1,2,2
3054,3,1,1,1,4,2,3,3,2,2,2,2,1,2,1,1,
3055,3,1,1,1,6,1,1,3,1,1,1,1,1,2,1,5,2
3056,2,1,1,1,3,1,1,3,3,1,3,1,1,2,2,2,2
3057,2,1,1,1,6,1,1,4,1,1,1,1,1,2,1,5,1
3058,2,1,1,1,7,1,1,3,1,1,1,1,1,2,1,3,2
3059,2,1,1,1,6,2,3,3,2,1,2,1,1,2,1,2,1
3060,2,1,1,1,4,1,1,3,2,1,2,1,1,2,1,3,2
3061,2,1,1,1,4,1,1,3,1,1,3,1,1,2,2,4,2
3062,2,1,1,1,3,1,1,4,3,1,2,1,1,2,2,3,2
3063,2,1,1,1,7,1,2,3,1,1,1,1,1,2,1,3,2
3064,2,1,1,1,6,1,1,4,1,1,1,1,1,2,2,4,2
3065,2,1,1,1,5,1,1,5,3,1,1,1,1,2,1,3,2
3066,2,1,1,1,4,1,1,3,2,1,1,1,1,2,2,3,1
3067,2,1,1,1,6,1,1,5,1,2,1,1,1,2,2,5,2
3068,2,1,1,1,5,1,1,3,1,1,1,1,1,2,2,3,2
3069,2,1,1,1,5,1,1,5,1,1,2,1,1,2,2,5,2
3070,2,1,1,1,5,1,1,3,1,1,1,1,1,2,1,3,1
3071,2,1,1,1,4,1,1,5,3,1,1,1,1,2,2,5,2
3072,2,1,1,1,5,1,1,3,3,1,1,1,1,2,2,4,2
3073,2,1,1,1,7,3,3,3,1,1,1,1,1,2,1,4,1
3074,2,1,1,1,6,1,1,3,3,1,1,1,1,2,1,3,2
3075,2,1,1,1,7,1,1,4,1,1,1,1,1,2,2,4,2
3076,2,1,1,1,3,1,1,4,1,1,3,1,1,2,2,3,1
3077,2,1,1,1,5,1,1,3,2,1,1,1,1,2,1,3,2
3078,2,1,1,1,2,1,1,4,1,1,2,1,1,2,1,4,8
3079,2,1,1,1,7,1,1,3,3,1,2,1,1,2,1,4,8
3080,2,1,1,1,7,2,3,3,3,3,3,3,1,2,1,4,8
3081,2,1,1,1,7,1,1,2,3,2,3,2,1,2,1,1,1
3082,2,1,1,1,3,1,2,2,3,3,3,3,1,2,2,1,2
3083,2,1,1,1,4,1,1,3,3,3,3,3,1,2,1,1,8
3084,2,1,1,1,6,1,1,5,1,1,1,1,1,2,2,5,2
3085,2,1,1,1,5,1,1,5,1,1,2,1,2,2,1,3,2
3086,2,1,1,1,6,1,1,3,2,1,3,1,1,2,1,3,2
3087,2,1,1,1,2,1,1,3,2,2,1,1,1,2,2,3,8
3088,2,1,1,1,3,1,2,3,3,3,3,3,1,2,2,1,2
3089,2,1,1,1,4,1,1,5,1,1,1,1,1,2,1,4,2
3090,2,1,1,1,6,1,2,3,1,1,1,1,1,2,1,4,1
3091,2,1,1,1,7,1,1,5,1,1,1,1,1,2,1,3,2
3092,2,1,1,1,1,1,1,3,1,1,3,1,2,1,2,3,2
3093,2,1,1,1,3,1,1,3,2,1,3,1,1,2,2,2,2
3094,2,1,1,1,5,1,1,3,2,1,1,1,1,2,2,2,2
3095,2,1,1,1,4,1,1,3,2,1,1,1,1,2,1,2,2
3096,2,1,1,1,7,1,1,3,2,1,2,1,1,2,1,3,2
3097,2,1,1,1,2,1,1,3,1,1,1,1,1,2,2,3,2
3098,2,1,1,1,6,1,1,4,1,1,1,1,1,2,2,5,2
3099,2,1,1,1,3,1,1,6,1,1,1,1,2,2,1,4,2
3100,2,1,1,1,6,1,1,5,1,1,1,1,1,2,1,5,2
3101,2,1,1,1,5,1,1,5,1,1,1,1,1,2,2,4,2
3102,2,1,1,1,5,1,1,6,2,1,1,1,1,2,1,5,2
3103,2,1,1,1,3,1,1,3,1,1,1,1,1,2,1,3,1
3104,2,1,1,1,7,1,2,2,3,1,3,1,1,2,1,2,1
3105,2,1,1,1,3,1,1,5,1,1,1,1,1,2,1,5,2
3106,2,1,1,1,5,1,1,6,1,1,1,1,1,2,1,5,2
3107,2,1,1,1,5,1,2,3,3,1,3,1,1,2,1,2,2
3108,3,1,5,2,4,1,1,3,3,1,3,1,1,2,1,3,8
3109,3,1,2,3,6,1,1,3,1,1,3,1,1,2,2,1,2
3110,3,1,2,3,6,2,3,2,3,1,3,1,1,2,1,3,1
3111,3,1,1,1,2,1,1,3,3,1,3,1,1,2,1,3,1
3112,3,1,2,3,2,1,1,3,1,1,1,1,1,2,2,3,1
3113,2,1,1,1,3,1,1,5,2,1,2,1,1,2,2,3,2
3114,2,1,1,1,4,2,3,3,1,3,3,1,1,2,1,1,8
3115,2,1,1,1,4,1,1,3,3,2,1,1,1,2,2,3,2
3116,2,1,1,1,4,1,1,3,2,1,1,1,1,2,1,2,2
3117,2,1,1,1,4,1,1,4,2,3,1,1,2,1,2,2,2
3118,2,1,1,1,2,1,1,3,3,3,1,1,1,2,2,2,1
3119,2,1,1,1,6,1,1,5,1,1,1,1,1,2,2,4,2
3120,2,1,1,1,7,1,1,2,2,1,1,1,1,2,1,4,1
3121,2,1,1,1,4,1,1,4,3,1,3,1,1,2,2,4,2
3122,2,1,1,1,4,1,2,4,1,1,1,1,2,1,1,3,1
3123,2,1,1,1,1,1,1,3,3,1,3,1,2,2,1,2,2
3124,2,1,1,1,3,1,1,4,3,1,3,1,1,2,2,2,2
3125,2,1,1,1,7,2,3,3,2,1,1,1,1,2,1,3,2
3126,2,1,1,1,5,1,2,3,2,1,3,1,1,2,1,2,8
3127,2,1,1,1,5,1,1,3,1,1,1,1,1,2,2,4,2
3128,2,1,1,1,3,1,1,3,1,1,1,1,1,2,2,4,1
3129,2,1,1,1,4,1,1,3,1,3,3,1,1,2,1,1,2
3130,2,1,1,1,6,1,1,5,1,1,1,1,1,2,2,3,1
3131,2,1,1,1,4,1,1,6,1,1,1,1,1,2,1,5,2
3132,2,1,1,1,6,1,1,3,3,1,3,1,1,2,1,2,8
3133,2,1,1,1,4,1,1,3,3,1,3,1,1,2,2,3,2
3134,2,1,1,1,7,1,1,3,3,1,3,1,1,2,1,3,2
3135,2,1,1,1,6,1,1,3,2,1,1,1,1,2,2,4,2
3136,2,1,1,1,3,1,2,5,1,1,3,1,1,2,2,2,2
3137,2,1,1,1,2,1,1,4,2,1,2,1,2,1,2,2,1
3138,2,1,1,1,4,1,1,5,1,1,3,1,1,2,1,5,2
3139,2,1,1,1,6,1,1,4,1,1,1,1,1,2,2,5,2
3140,2,1,1,1,3,2,1,4,3,1,2,1,1,2,2,5,1
3141,2,1,1,1,4,1,1,5,1,1,1,1,1,2,2,4,2
3142,2,1,1,1,5,1,1,3,3,1,2,1,1,2,1,4,8
3143,2,1,1,1,6,1,2,3,1,1,1,1,1,2,2,3,2
3144,2,1,1,1,7,1,1,3,2,1,3,1,1,2,1,5,8
3145,2,1,1,1,7,3,3,2,2,1,3,1,1,2,1,2,1
3146,2,1,1,1,3,1,1,6,1,1,3,1,2,2,1,4,2
3147,2,1,1,1,4,1,1,5,1,1,1,1,1,2,1,3,2
3148,2,1,1,1,3,1,1,5,1,1,1,1,1,2,2,3,2
3149,2,1,1,1,5,1,2,3,2,1,1,1,2,2,1,3,2
3150,2,1,1,1,2,1,2,3,2,1,1,1,2,2,1,3,1
3151,2,1,1,1,7,1,1,5,1,1,1,1,1,2,1,5,2
3152,2,1,1,1,6,1,2,2,3,1,1,1,1,2,1,2,2
3153,2,1,1,1,7,1,1,3,2,1,3,1,1,2,2,2,1
3154,2,1,1,1,5,2,3,3,1,1,1,1,1,2,2,3,2
3155,2,1,1,1,7,1,1,3,3,1,1,1,1,2,1,3,2
3156,2,1,1,1,4,1,1,4,3,1,1,1,1,2,2,4,2
3157,2,1,1,1,6,1,1,2,3,1,1,1,1,2,2,4,
3158,2,1,1,1,7,1,1,5,2,1,1,1,1,2,2,3,2
3159,2,1,1,1,5,1,2,3,1,1,1,1,1,2,2,4,2
3160,2,1,1,1,7,3,3,4,1,3,1,1,1,2,1,3,2
3161,2,1,1,1,6,1,1,5,1,1,3,1,1,2,2,4,1
3162,2,1,1,1,5,1,2,3,1,1,3,1,1,2,2,4,2
3163,2,1,1,1,3,1,2,5,3,1,1,1,1,2,2,2,1
3164,2,1,1,1,7,1,2,3,3,1,3,1,1,2,1,2,8
3165,2,1,1,1,4,1,2,3,1,1,1,1,1,2,2,2,2
3166,2,1,1,1,5,2,3,3,1,1,3,1,2,2,2,4,2
3167,2,1,1,1,5,1,2,5,1,1,1,1,1,2,1,5,1
3168,2,1,1,1,7,1,1,3,2,1,1,1,1,2,2,4,2
3169,2,1,1,1,2,1,1,5,1,1,3,1,1,2,1,4,2
3170,2,1,1,1,6,1,2,3,1,1,3,1,1,2,2,3,1
3171,2,1,1,1,5,1,1,6,2,1,3,1,1,2,1,5,2
3172,2,1,1,1,4,1,1,5,1,1,3,1,1,2,1,2,2
3173,2,1,1,1,2,1,2,3,3,1,1,1,2,2,2,5,2
3174,2,1,1,1,6,1,1,3,2,2,2,2,1,2,1,4,1
3175,2,1,1,1,3,1,1,3,3,1,3,1,1,2,2,4,2
3176,2,1,1,1,3,1,1,3,1,1,1,1,1,1,2,3,8
3177,2,1,1,1,6,1,1,3,3,1,3,1,1,2,1,2,2
3178,2,1,1,1,7,1,1,3,2,1,1,1,1,2,1,2,8
3179,2,1,1,1,2,1,2,3,1,1,3,1,1,2,2,2,1
3180,2,1,1,1,4,1,1,3,2,1,3,1,1,2,2,3,1
3181,2,1,1,1,4,1,2,5,2,1,1,1,1,2,1,4,2
3182,2,1,1,1,5,1,2,6,1,1,1,1,1,2,1,5,2
3183,2,1,1,1,3,1,1,3,2,1,1,1,1,2,2,3,1
3184,2,1,1,1,3,1,2,3,2,1,1,1,1,1,1,3,2
3185,2,1,1,1,5,1,1,3,3,1,3,1,1,2,2,1,2
3186,2,1,1,1,5,1,1,3,3,1,1,1,1,2,1,4,2
3187,2,1,1,1,6,1,2,3,3,3,3,3,1,2,2,3,2
3188,2,1,1,1,4,1,2,3,1,2,1,1,1,2,2,1,1
3189,2,1,1,1,5,1,1,5,2,1,3,1,1,2,2,5,2
3190,2,1,1,1,7,1,1,4,1,1,1,1,1,2,2,2,2
3191,2,1,1,1,5,1,1,4,1,1,1,1,1,2,1,3,1
3192,2,1,1,1,4,1,1,2,2,1,1,1,1,2,1,3,2
3193,2,1,1,1,4,1,1,3,3,2,2,2,1,2,2,2,2
3194,2,1,1,1,3,1,1,3,2,1,1,1,1,2,1,3,1
3195,2,1,1,1,5,1,1,4,2,1,1,1,1,2,1,4,1
3196,3,1,2,3,5,1,2,1,3,3,1,1,1,2,1,1,1
3197,3,1,1,3,7,1,1,3,3,3,3,3,1,2,2,1,
3198,3,1,4,3,5,1,1,3,2,1,2,1,1,2,1,2,8
3199,3,1,2,3,3,1,2,3,3,1,3,1,1,2,2,3,8
3200,2,1,1,1,5,2,3,5,1,1,1,1,2,2,1,5,1
3201,2,1,1,1,5,3,3,4,1,1,1,1,2,2,1,5,2
3202,2,1,1,1,7,1,1,4,1,1,1,1,1,2,2,5,2
3203,2,1,1,1,7,1,1,5,2,1,1,1,1,2,2,4,2
3204,2,1,1,1,5,1,2,5,1,3,1,1,1,2,2,4,1
3205,2,1,1,1,5,1,1,5,1,1,1,1,1,2,1,5,2
3206,2,1,1,1,3,1,1,3,1,1,1,1,2,2,1,3,8
3207,2,1,1,1,4,1,1,3,1,1,1,1,1,1,2,4,1
3208,2,1,1,1,6,1,1,3,2,1,1,1,1,2,1,4,2
3209,2,1,1,1,5,1,1,4,1,1,3,1,1,2,2,3,2
3210,2,1,1,1,3,1,1,4,3,1,1,1,1,1,2,4,1
3211,2,1,1,1,4,1,1,3,1,1,3,1,1,2,2,4,2
3212,2,1,1,1,6,1,1,5,2,1,3,1,1,2,2,5,2
3213,2,1,1,1,4,1,1,3,1,1,2,1,1,2,2,4,2
3214,2,1,1,1,5,3,3,3,1,1,1,1,1,2,2,3,8
3215,2,1,1,1,3,1,1,4,2,1,3,1,1,2,2,3,2
3216,2,1,1,1,4,1,1,4,3,1,3,1,1,2,1,1,1
3217,2,1,1,1,3,1,1,3,1,1,1,1,1,2,2,2,1
3218,2,1,1,1,7,1,1,3,2,1,2,1,1,2,2,3,2
3219,2,1,1,1,6,1,1,4,1,1,2,1,1,2,1,5,8
3220,2,1,1,1,5,1,1,3,3,1,3,1,1,2,2,4,2
3221,2,1,1,1,6,1,1,2,3,3,3,3,1,2,1,4,8
3222,2,1,1,1,2,1,1,3,2,1,1,1,1,2,2,4,2
3223,2,1,1,1,5,1,1,2,2,1,1,1,1,2,1,4,2
3224,2,1,1,1,4,1,2,3,3,3,1,1,1,1,2,5,2
3225,2,1,4,1,7,1,1,5,1,1,1,1,1,2,2,5,2
3226,2,1,1,1,7,1,1,5,1,1,1,1,2,2,1,5,2
3227,2,1,1,1,5,1,1,3,2,1,2,1,1,2,1,2,1
3228,2,1,1,1,5,1,1,3,2,1,1,1,1,2,2,5,2
3229,2,1,1,1,7,1,1,3,1,1,1,1,2,2,1,3,2
3230,2,1,4,1,6,1,2,6,1,1,1,1,1,2,1,5,2
3231,2,1,1,1,7,1,1,4,2,3,3,2,1,2,1,2,2
3232,2,1,1,1,4,1,1,5,2,1,1,1,1,2,1,5,2
3233,2,1,1,1,5,1,1,3,3,1,3,1,1,2,2,4,1
3234,2,1,1,1,5,1,1,3,3,1,1,1,1,2,2,3,2
3235,2,1,1,1,3,1,1,5,3,1,3,1,2,2,1,5,2
3236,2,1,1,1,7,1,2,3,1,1,1,1,1,2,1,5,2
3237,2,1,1,1,5,1,1,4,1,1,1,1,1,2,2,3,2
3238,2,1,1,1,4,1,1,3,2,1,1,1,1,2,2,3,2
3239,2,1,1,1,3,1,1,5,1,1,3,1,2,2,1,4,1
3240,2,1,1,1,7,1,1,4,1,3,3,1,1,2,1,4,2
3241,2,1,1,1,4,1,1,3,3,2,3,2,1,2,1,4,1
3242,2,1,1,1,3,1,2,5,1,1,1,1,1,2,1,5,1
3243,2,1,1,1,3,1,1,6,1,1,2,1,2,2,1,5,2
3244,2,1,1,1,5,1,1,5,1,1,1,1,2,2,1,5,2
3245,2,1,1,1,5,1,2,5,1,1,3,1,1,2,2,5,1
3246,2,1,1,1,4,1,2,3,3,1,1,1,1,2,1,5,2
3247,2,1,1,1,4,1,1,3,3,1,3,1,1,2,2,4,1
3248,2,1,1,1,6,1,1,5,1,1,1,1,1,2,2,5,2
3249,2,1,1,1,7,1,1,4,2,3,3,2,1,2,2,5,2
3250,2,1,1,1,5,1,1,4,1,1,1,1,1,2,2,5,1
3251,2,1,1,1,2,1,1,5,1,1,1,1,1,2,1,4,2
3252,1,1,1,1,3,1,1,3,2,1,3,1,1,2,2,4,2
3253,1,1,1,1,3,1,1,3,1,1,2,1,1,2,2,2,8
3254,1,1,1,1,4,1,1,6,2,1,3,1,2,2,1,5,2
3255,1,1,1,1,4,1,2,4,3,2,3,2,1,2,2,5,8
3256,1,1,1,1,4,2,3,3,1,1,2,1,2,2,2,3,8
3257,1,1,1,1,4,1,1,3,2,1,3,1,1,2,2,2,2
3258,1,1,1,1,4,1,1,3,3,3,3,3,1,2,2,4,8
3259,1,1,1,1,7,1,1,5,1,1,1,1,1,2,1,5,2
3260,1,1,1,1,7,1,1,4,1,1,1,1,1,2,1,5,2
3261,1,1,1,1,4,1,1,5,2,1,1,1,2,2,2,3,8
3262,1,1,1,1,5,1,1,5,2,1,3,1,1,2,2,4,2
3263,2,1,3,4,6,1,2,6,1,1,1,1,1,2,1,4,2
3264,2,1,1,1,4,1,1,6,2,1,1,1,1,2,1,4,2
3265,2,1,1,1,5,1,1,3,1,1,3,1,1,2,1,3,2
3266,2,1,1,1,5,1,1,4,1,1,1,1,1,2,2,2,2
3267,1,1,3,4,7,1,1,3,3,3,1,1,1,2,2,5,
3268,1,1,3,4,2,1,1,4,3,3,1,1,1,2,2,5,2
3269,1,1,3,4,6,1,1,3,3,3,2,2,1,2,2,3,8
3270,1,1,3,4,6,1,1,1,3,1,2,1,1,2,2,2,
3271,1,1,3,4,2,1,1,3,3,3,3,3,1,2,2,2,1
3272,1,1,3,4,3,1,1,3,3,3,1,1,2,1,2,3,8
3273,2,1,1,1,4,1,1,4,3,1,1,1,1,2,2,4,2
3274,2,1,1,1,7,1,1,4,2,1,1,1,1,2,2,5,2
3275,2,1,1,1,5,1,1,5,1,1,1,1,1,2,1,5,2
3276,2,1,1,1,3,1,1,5,3,1,3,1,1,2,2,5,2
3277,2,1,1,1,7,1,1,4,1,1,1,1,1,2,2,5,2
3278,2,1,1,1,4,1,1,5,1,1,1,1,1,2,1,5,2
3279,2,1,1,1,6,1,1,5,2,1,3,1,1,2,2,5,2
3280,2,1,1,1,2,1,2,4,2,1,1,1,1,2,2,4,2
3281,2,1,1,1,2,1,1,3,1,1,1,1,1,2,2,4,2
3282,2,1,1,1,5,1,1,3,3,1,1,1,1,2,2,4,1
3283,2,1,1,1,5,1,1,3,2,1,1,1,1,2,2,4,1
3284,2,1,1,1,2,1,1,3,3,1,1,1,1,2,2,4,
3285,2,1,1,1,6,1,2,3,1,1,1,1,1,2,2,4,2
3286,2,1,1,1,7,1,1,3,1,1,3,1,1,2,2,4,2
3287,2,1,1,1,3,1,1,3,2,1,1,1,1,2,2,4,1
3288,2,1,4,1,4,1,1,4,3,1,3,1,1,2,2,4,2
3289,2,1,4,1,4,1,2,3,3,1,1,1,1,2,2,4,1
3290,2,1,1,1,3,1,1,5,2,1,1,1,1,2,1,5,2
3291,2,1,1,1,4,1,2,5,1,1,1,1,1,2,2,5,2
3292,2,1,5,1,5,1,1,3,3,1,3,1,1,2,2,4,2
3293,2,1,1,1,3,1,1,5,1,1,1,1,1,2,2,5,2
3294,2,1,1,1,5,1,1,4,3,2,1,1,1,2,1,3,1
3295,2,1,4,1,4,1,1,6,1,1,3,1,1,2,1,4,2
3296,2,1,4,1,7,1,1,4,1,1,3,1,1,2,2,4,2
3297,2,1,4,1,7,1,1,3,3,3,1,1,1,2,2,3,1
3298,2,1,4,1,5,1,1,3,2,1,3,1,1,2,2,4,2
3299,2,1,4,1,4,1,1,3,1,1,1,1,1,2,2,2,2
3300,2,1,4,1,6,1,1,3,1,1,2,1,1,2,2,4,2
3301,2,1,4,1,5,1,1,3,2,1,3,1,1,2,2,2,2
3302,2,1,4,1,7,1,1,3,1,3,3,1,1,2,2,1,2
3303,2,1,1,1,4,1,1,3,3,1,1,1,1,2,2,3,
3304,2,1,1,1,3,1,1,4,2,1,1,1,1,2,1,5,1
3305,2,1,4,1,7,1,1,5,1,1,1,1,1,2,1,5,2
3306,2,1,4,1,6,1,1,5,1,1,2,1,1,2,1,4,2
3307,2,1,4,1,5,1,1,5,1,1,2,1,1,2,2,5,2
3308,2,1,1,1,6,1,1,5,1,1,2,1,1,2,2,5,1
3309,2,1,1,1,6,1,1,4,3,1,1,1,1,2,1,4,2
3310,2,1,1,1,6,1,1,3,1,1,1,1,1,2,2,2,2
3311,2,1,1,1,2,1,1,5,1,1,2,1,2,2,2,1,2
3312,2,1,1,1,7,1,1,5,1,1,2,1,1,2,1,3,2
3313,2,1,1,1,4,3,3,5,2,1,2,1,1,2,2,3,2
3314,2,1,1,1,5,1,1,3,2,1,3,1,1,2,2,5,2
3315,2,1,4,1,4,1,1,5,3,2,3,2,1,2,2,4,2
3316,2,1,4,1,3,1,1,3,1,1,3,1,1,2,1,3,1
